time,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),memory,throughput_increase(%),size_decrease(%),memory_decrease(%),performance(%),accepted,writing_time,processing_time,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19
23-04-25_11:04:21,lz4,1048576,20971520,1,1366.85,1096766552,371360,70.787,0.609,-5.219,22.059,False,38.108,27.763,1304.9,1347.6,1345.0,1376.3,1337.0,1334.8,1362.7,1320.1,1344.0,1344.1,1343.9,1433.4,1446.6,1300.8,1348.2,1354.3,1358.1,1359.0,1501.1,1475.3
23-04-25_11:05:27,lz4,1048576,20971520,1,1342.22,1096766552,367352,67.708,0.609,-4.083,21.411,False,37.769,27.862,1332.7,1326.9,1354.2,1351.6,1357.2,1353.5,1329.3,1331.7,1326.8,1321.1,1317.2,1364.4,1331.3,1335.0,1391.1,1377.6,1308.9,1312.1,1370.4,1351.3
23-04-25_11:06:33,lz4,524288,10485760,1,1326.91,1097464908,321396,65.796,0.546,8.937,25.093,True,36.709,29.327,1291.2,1307.4,1309.4,1317.6,1338.7,1315.8,1295.6,1504.2,1306.7,1339.0,1339.3,1306.3,1354.8,1306.4,1329.8,1326.6,1306.4,1308.3,1319.7,1314.9
23-04-25_11:07:38,lz4,524288,10485760,2,1328.81,1097464908,377200,66.033,0.546,-6.874,19.902,False,36.467,28.558,1283.2,1273.6,1299.7,1300.9,1268.6,1278.7,1281.8,1285.4,1298.1,1312.3,1460.4,1276.3,1448.4,1325.3,1478.1,1462.4,1297.0,1322.7,1336.9,1286.2
23-04-25_11:08:43,lz4,524288,10485760,2,1298.42,1097464908,368612,62.236,0.546,-4.440,19.447,False,36.241,28.885,1280.9,1285.8,1303.9,1290.5,1309.5,1279.6,1283.7,1292.5,1305.0,1285.2,1331.9,1310.8,1308.2,1297.3,1283.6,1300.3,1349.0,1290.7,1294.3,1285.9
23-04-25_11:09:35,zstd,524288,10485760,1,1234.87,1021735559,320628,54.296,7.408,9.155,23.620,False,24.170,27.614,1221.8,1206.2,1189.2,1207.5,1193.1,1201.9,1294.2,1203.9,1221.2,1192.3,1275.7,1304.1,1287.6,1316.3,1194.0,1295.8,1204.7,1190.2,1192.0,1305.9
23-04-25_11:10:28,zstd,524288,10485760,1,1223.94,1021735559,319644,52.930,7.408,9.434,23.257,False,24.309,28.131,1209.6,1212.1,1201.6,1305.2,1294.7,1182.4,1273.1,1190.9,1271.6,1297.8,1301.4,1187.0,1187.1,1286.7,1210.9,1180.9,1115.6,1199.5,1193.5,1177.2
23-04-25_11:11:35,lz4,524288,20971520,1,1294.20,1097420628,348132,61.709,0.550,1.362,21.207,False,36.604,30.033,1273.2,1289.4,1278.5,1319.0,1312.5,1277.7,1310.1,1292.8,1281.4,1283.7,1287.0,1314.8,1277.3,1306.0,1282.9,1295.2,1292.3,1320.1,1292.2,1298.0
23-04-25_11:12:40,lz4,524288,20971520,1,1344.71,1097420628,331468,68.020,0.550,6.084,24.884,True,36.916,28.881,1345.7,1331.5,1353.6,1341.3,1361.6,1306.1,1290.0,1348.7,1296.6,1326.4,1324.4,1458.5,1331.9,1340.9,1364.0,1373.0,1337.3,1342.6,1368.5,1351.8
23-04-25_11:13:31,zstd,524288,20971520,1,1176.77,1021497467,345204,47.036,7.430,2.192,18.886,False,22.122,28.454,1167.8,1190.0,1153.2,1128.2,1176.1,1162.3,1159.0,1171.4,1161.9,1241.5,1246.4,1183.8,1192.7,1111.0,1121.1,1150.3,1155.1,1154.8,1247.9,1260.7
23-04-25_11:14:22,zstd,524288,20971520,1,1164.51,1021497467,327744,45.505,7.430,7.139,20.025,False,22.468,28.766,1198.1,1152.8,1162.0,1203.5,1154.8,1182.3,1171.2,1180.9,1130.7,1173.0,1194.3,1145.1,1176.1,1099.4,1192.3,1118.8,1162.1,1162.5,1154.4,1176.2
