time,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),memory,throughput_increase(%),size_decrease(%),memory_decrease(%),performance(%),accepted,writing_time,processing_time,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19
23-04-25_09:13:30,lz4,8388608,104857600,2,1057.72,2259762968,338688,119.606,2.018,-14.280,35.781,False,111.253,19.794,1057.3,1062.3,1062.1,1066.2,1049.4,1061.6,1060.9,1055.3,1077.2,1050.8,1062.9,1057.6,1059.0,1054.6,1041.9,1057.5,1056.3,1038.9,1058.1,1064.5
23-04-25_09:15:43,lz4,8388608,104857600,2,1012.31,2259762968,339944,110.179,2.018,-14.703,32.498,False,113.011,20.577,1015.9,1000.9,1011.7,1008.3,1010.7,1005.1,1011.5,1008.6,1006.8,1013.3,1016.3,1020.5,1019.4,1009.9,1030.0,1008.2,1022.1,1005.4,1012.8,1008.9
23-04-25_09:17:54,lz4,8388608,52428800,1,932.65,2263845086,290496,93.640,1.841,1.981,32.487,False,109.980,20.998,932.0,984.9,933.7,943.3,927.5,929.8,939.6,923.9,923.8,930.2,931.8,941.7,927.6,927.7,932.6,931.6,919.3,925.2,923.9,923.2
23-04-25_09:20:08,lz4,8388608,104857600,2,1032.06,2259762968,340636,114.279,2.018,-14.937,33.787,False,113.042,20.441,1025.8,1027.4,1033.3,1034.2,1040.3,1032.2,1029.4,1033.2,1031.5,1021.8,1029.6,1023.4,1032.1,1026.3,1030.2,1046.5,1030.4,1036.5,1034.9,1042.2
23-04-25_09:22:22,zstd,8388608,104857600,1,878.56,1946454776,320692,82.410,15.602,-8.207,29.935,False,112.312,21.504,863.4,898.2,873.6,893.3,880.1,868.7,871.9,864.9,867.5,874.2,870.5,871.1,870.6,882.6,873.0,895.7,899.1,865.3,891.8,895.5
23-04-25_09:24:33,lz4,16777216,104857600,1,1041.09,2272934648,331172,116.155,1.446,-11.744,35.286,False,110.750,20.327,1039.2,1036.5,1028.8,1037.9,1046.6,1047.2,1069.4,1026.6,1046.8,1054.8,1025.3,1048.3,1041.9,1032.6,1046.3,1037.9,1023.5,1034.1,1059.0,1039.1
23-04-25_09:26:44,lz4,8388608,52428800,1,888.91,2263845086,288976,84.559,1.841,2.494,29.631,False,110.165,21.196,893.7,901.3,879.9,877.6,881.9,890.2,892.1,887.0,884.8,891.0,888.2,883.2,902.3,893.1,891.6,894.8,894.0,880.0,878.9,892.8
23-04-25_09:28:55,lz4,16777216,104857600,1,1025.76,2272934648,329936,112.971,1.446,-11.326,34.364,False,110.596,20.362,1019.5,1026.4,1025.4,1014.7,1038.3,1018.2,1014.8,1027.2,1013.5,1018.8,1034.1,1030.7,1029.7,1034.3,1034.7,1033.9,1024.8,1017.7,1014.6,1044.0
23-04-25_09:31:07,lz4,16777216,104857600,1,1017.07,2272934648,330312,111.167,1.446,-11.453,33.720,False,111.055,20.527,1010.2,1014.2,1020.6,1029.0,1022.3,999.1,1061.1,1015.6,1011.2,999.9,1019.4,1017.2,1012.4,1026.5,1009.6,1014.2,1013.5,1009.4,1023.0,1013.2
23-04-25_09:33:21,lz4,8388608,157286400,1,1054.29,2258399941,334052,118.896,2.077,-12.715,36.086,False,113.784,20.261,1056.6,1048.0,1085.0,1032.7,1040.8,1059.7,1052.4,1061.7,1046.3,1052.7,1053.7,1058.7,1054.6,1053.5,1085.2,1048.5,1053.1,1046.7,1047.3,1048.6
23-04-25_09:35:35,lz4,8388608,104857600,2,999.10,2259762968,340124,107.436,2.018,-14.764,31.563,False,113.119,20.539,980.6,1001.0,994.5,1001.7,1000.9,1000.7,986.9,997.0,999.0,1039.5,995.5,1000.9,1001.8,993.5,997.4,1002.2,999.4,997.2,992.9,999.6
23-04-25_09:37:45,zstd,8388608,104857600,1,909.01,1946454776,320756,88.732,15.602,-8.229,32.035,False,109.768,20.808,920.5,894.7,887.0,916.5,946.1,919.6,907.3,910.3,919.1,919.9,890.7,882.7,923.9,914.5,889.3,925.8,912.8,893.0,913.2,893.3
23-04-25_09:39:58,lz4,8388608,157286400,1,1055.78,2258399941,333812,119.204,2.077,-12.634,36.216,False,112.732,20.275,1067.5,1047.3,1029.5,1055.2,1046.6,1075.8,1038.9,1061.0,1059.9,1061.9,1063.4,1059.2,1059.4,1055.7,1044.1,1064.2,1045.8,1056.0,1064.8,1059.3
