time,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),memory,throughput_increase(%),size_decrease(%),memory_decrease(%),performance(%),accepted,writing_time,processing_time,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,throughput_10,throughput_11,throughput_12,throughput_13,throughput_14,throughput_15,throughput_16,throughput_17,throughput_18,throughput_19,memory_0,memory_1,memory_2,memory_3,memory_4,memory_5,memory_6,memory_7,memory_8,memory_9,memory_10,memory_11,memory_12,memory_13,memory_14,memory_15,memory_16,memory_17,memory_18,memory_19
23-04-26_08:55:12,lz4,2097152,104857600,2,1014.09,2260127456,338852.40,112.171,2.002,-14.663,33.170,False,111.299,20.630,1017.9,1032.5,1021.7,1007.0,1014.4,1003.3,1010.3,1017.9,1014.2,1021.4,1019.8,1018.5,1012.6,985.9,1000.4,1024.7,1016.0,1025.4,1015.9,1001.6,341036.0,331452.0,340592.0,341120.0,339376.0,338888.0,339632.0,338928.0,340636.0,339932.0,340612.0,338648.0,338924.0,340488.0,339020.0,338960.0,338928.0,338900.0,339420.0,331556.0
23-04-26_08:57:25,lz4,1048576,104857600,1,937.25,2261544877,311045.60,96.095,1.940,-5.254,30.927,False,111.890,20.981,936.8,929.7,934.7,959.2,931.7,935.2,930.0,929.4,938.6,941.4,932.0,933.3,937.8,941.6,927.5,934.5,933.3,926.1,980.3,932.0,311528.0,311456.0,311472.0,302500.0,313140.0,312184.0,311700.0,311464.0,311488.0,311164.0,312156.0,313132.0,312744.0,311484.0,311592.0,313168.0,311804.0,312104.0,301460.0,313172.0
23-04-26_08:59:39,lz4,4194304,104857600,1,1069.63,2259784018,313917.60,123.791,2.017,-6.226,39.861,True,113.437,20.155,1070.1,1063.3,1075.4,1067.4,1069.8,1065.8,1079.6,1067.1,1062.3,1100.5,1071.2,1060.0,1062.0,1056.6,1069.7,1068.8,1066.6,1085.7,1066.6,1064.1,313568.0,313280.0,313820.0,314204.0,314200.0,313524.0,313296.0,313440.0,314216.0,315092.0,314412.0,313460.0,313612.0,313404.0,314624.0,313396.0,314468.0,313556.0,314404.0,314376.0
23-04-26_09:01:51,lz4,4194304,104857600,2,1023.74,2259784018,340161.20,114.190,2.017,-15.106,33.700,False,111.601,20.655,1020.5,1008.3,1016.9,1041.9,1017.6,1018.6,1030.0,1005.2,1025.4,1020.6,1009.7,1059.8,1025.4,1005.5,1022.7,1055.2,1071.1,1013.1,1016.1,991.2,342196.0,340920.0,340504.0,338756.0,341736.0,342184.0,340492.0,338004.0,340944.0,340588.0,337804.0,339028.0,341164.0,340528.0,340492.0,339120.0,339932.0,340248.0,340980.0,337604.0
23-04-26_09:04:03,lz4,4194304,104857600,2,1028.52,2259784018,340521.40,115.192,2.017,-15.228,33.993,False,111.201,20.545,1025.4,1028.3,1026.6,1027.8,1020.4,1043.6,1022.9,1037.1,1035.8,1029.4,1033.3,1027.8,1027.1,1029.0,1027.7,1025.2,1026.3,1022.8,1028.8,1025.1,337760.0,340256.0,340404.0,340504.0,341644.0,339560.0,341552.0,341404.0,338592.0,340184.0,340968.0,340552.0,341148.0,340916.0,341372.0,340512.0,340916.0,340416.0,340552.0,341216.0
23-04-26_09:06:15,lz4,4194304,104857600,2,1006.19,2259784018,338876.00,110.520,2.017,-14.671,32.622,False,111.102,20.692,995.2,1007.7,993.9,1001.8,1018.4,1008.4,1014.6,1001.5,999.9,1007.4,1051.2,1005.1,995.3,1011.7,1003.7,1001.5,1004.1,991.2,1002.6,1008.9,339984.0,339600.0,340620.0,339644.0,340128.0,338060.0,329440.0,339984.0,338396.0,339196.0,339952.0,338428.0,338908.0,338336.0,338416.0,339632.0,338580.0,340948.0,340700.0,338568.0
23-04-26_09:08:27,lz4,4194304,104857600,2,1019.45,2259784018,340712.00,113.292,2.017,-15.293,33.339,False,111.353,20.580,1027.2,1013.0,1028.0,1021.5,1035.9,1026.5,1019.6,1022.7,991.5,1019.4,1032.1,1024.9,995.0,1023.5,1020.1,1016.0,1016.0,1021.6,1017.5,1016.9,341740.0,338972.0,340532.0,341344.0,340732.0,340716.0,341236.0,340732.0,337908.0,340520.0,340536.0,340548.0,341020.0,341504.0,342220.0,340540.0,341576.0,339148.0,342220.0,340496.0
23-04-26_09:10:41,lz4,4194304,157286400,1,1047.87,2258421313,333963.60,119.239,2.076,-13.009,36.102,False,113.788,20.455,1051.2,1035.1,1048.2,1082.5,1036.8,1054.4,1059.7,1059.8,1086.4,1029.7,1045.6,1048.6,1052.7,1047.1,1009.5,1047.7,1040.1,1047.0,1026.6,1048.4,333548.0,332572.0,333288.0,333568.0,333740.0,332820.0,333280.0,332992.0,333700.0,347020.0,333304.0,332792.0,333004.0,332524.0,333840.0,332832.0,333248.0,332892.0,334596.0,333712.0
23-04-26_09:12:54,lz4,4194304,104857600,2,1017.53,2259784018,339107.40,112.893,2.017,-14.750,33.386,False,112.501,20.526,1006.7,1031.6,1021.1,1013.0,1005.6,1010.6,1028.2,1003.8,1023.6,1027.1,1024.3,1016.0,1025.8,1054.6,981.4,1014.6,1014.0,1027.7,1010.2,1010.7,340608.0,339952.0,338380.0,339428.0,338880.0,340448.0,338400.0,338800.0,339616.0,340060.0,338428.0,338620.0,339372.0,339352.0,338392.0,338616.0,338560.0,338436.0,338912.0,338888.0
23-04-26_09:15:06,zstd,4194304,104857600,1,866.99,1946470506,322179.20,81.395,15.602,-9.021,29.325,False,110.894,21.530,875.1,877.2,899.2,872.4,855.5,875.4,842.0,877.3,885.3,877.8,833.9,878.3,876.4,878.2,853.9,836.2,875.6,836.3,853.1,880.5,322868.0,321824.0,321900.0,322520.0,323064.0,321560.0,321400.0,321404.0,322604.0,322260.0,322456.0,321508.0,323300.0,321480.0,321512.0,321788.0,322864.0,322588.0,322880.0,321804.0
