compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),throughput_increase(%),size_decrease(%),performance(%),accepted,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
lz4,131072,31457280,2,882.21,1100862693,7.074,0.238,3.656,True,883.7,882.6,880.4,881.0,880.0,879.5,888.3,888.0,880.1,878.4
lz4,65536,31457280,2,852.34,1103490635,3.449,-0.001,1.724,False,850.4,854.8,851.9,849.0,857.6,853.0,846.9,852.6,857.9,849.4
lz4,131072,41943040,2,861.53,1100869830,4.564,0.237,2.401,False,857.0,866.7,865.0,863.5,863.8,856.2,853.7,859.7,867.4,862.4
zlib,131072,31457280,2,293.87,1051942312,-64.333,4.671,-29.831,False,300.6,267.0,269.6,270.4,305.8,304.4,303.5,306.0,305.9,305.5
lz4,65536,31457280,2,850.88,1103490635,3.272,-0.001,1.636,False,845.9,853.4,845.3,847.0,852.4,854.8,852.0,849.3,854.2,854.6
lz4,131072,31457280,1,872.56,1100862693,5.903,0.238,3.07,True,874.0,874.0,872.3,872.3,873.2,869.2,870.7,872.0,872.2,875.9
lz4,262144,31457280,1,905.65,1098921528,9.919,0.414,5.166,True,906.3,899.9,902.3,915.2,913.7,903.1,901.5,909.4,897.2,907.9
lzma,262144,31457280,1,35.73,991990181,-95.663,10.104,-42.78,False,35.9,35.6,36.1,35.5,35.9,35.5,35.7,35.8,35.6,35.5
zlib,262144,31457280,1,308.76,1043146585,-62.526,5.468,-28.529,False,309.9,309.8,311.3,309.9,312.9,304.9,307.5,306.0,306.5,308.8
lz4,262144,20971520,1,942.55,1099054550,14.397,0.401,7.399,True,942.1,939.2,954.1,937.1,944.3,933.1,942.0,952.5,945.0,935.9
lz4,131072,20971520,1,899.04,1100875309,9.117,0.236,4.677,False,904.5,897.7,889.4,888.6,896.7,897.9,894.9,901.7,900.9,918.1
lz4,131072,20971520,1,895.3,1100875309,8.662,0.236,4.449,False,901.3,890.7,896.9,897.6,890.5,897.9,895.1,896.0,887.1,899.8
