compression,Page Size,Cluster Size,Cluster Bunch,throughput,relative_throughput,size,relative_size,performance,success,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
none,262144,419430400,4,1178.41,1.02,1574680589,1.43,-0.20312374254783416,False,1181.4,1175.3,1178.9,1175.4,1173.1,1182.3,1174.7,1182.0,1178.6,1182.3
lzma,262144,419430400,4,1840.07,1.59,992144477,0.90,0.34740200805514154,True,1784.8,1820.2,1819.1,1859.0,1920.3,1836.4,1829.2,1838.8,1826.0,1866.8
zlib,262144,419430400,4,1765.23,1.53,1043119160,0.95,0.2918930238086392,False,1765.9,1775.7,1761.1,1762.0,1770.7,1763.7,1768.5,1763.2,1764.1,1757.4
zlib,262144,419430400,4,1771.99,1.53,1043119160,0.95,0.2948183990523375,True,1769.7,1767.6,1750.4,1771.7,1778.6,1772.1,1777.9,1782.8,1772.6,1776.4
zlib,524288,419430400,4,1980.07,1.72,1037947912,0.94,0.3872833438049156,True,1982.2,1975.6,1982.2,1984.2,1981.6,1986.1,1971.2,1984.0,1978.3,1975.2
lzma,524288,419430400,4,2108.20,1.83,990036387,0.90,0.4644891402551789,True,2088.3,2103.4,2108.3,2112.0,2112.8,2111.5,2110.3,2117.5,2106.8,2111.1
zlib,524288,419430400,4,1753.40,1.52,1037947912,0.94,0.28911239028669,True,1742.7,1752.2,1757.0,1772.0,1758.3,1744.2,1755.0,1750.8,1747.5,1754.3
zlib,1048576,419430400,4,2100.99,1.82,1035780524,0.94,0.4406365881021546,True,2099.7,2106.0,2093.9,2102.9,2100.0,2110.9,2107.7,2099.3,2090.2,2099.1
zlib,2097152,419430400,4,2165.49,1.88,1034326818,0.94,0.46923204993344814,True,2128.0,2128.5,2181.5,2173.7,2173.4,2169.5,2174.2,2156.5,2194.2,2175.3
zlib,2097152,524288000,4,2076.71,1.80,1034326818,0.94,0.4307828382543323,True,2085.5,2069.2,2071.0,2074.5,2076.9,2085.5,2072.0,2082.1,2077.5,2072.7
none,2097152,524288000,4,1353.32,1.17,1574376093,1.43,-0.1272293541559958,False,1360.2,1359.4,1348.7,1343.8,1351.9,1351.8,1353.4,1352.7,1353.1,1358.2
zlib,2097152,419430400,4,1814.02,1.57,1034326818,0.94,0.3170069645745156,True,1930.1,1804.1,1800.5,1800.2,1794.3,1792.0,1815.4,1794.2,1808.2,1801.2
lz4,2097152,419430400,4,1933.72,1.68,1096480201,0.99,0.34068921870612257,True,2243.2,1881.4,1897.2,1877.2,1899.0,1906.4,1905.7,1908.0,1900.3,1918.8
lz4,2097152,524288000,4,2011.47,1.74,1096480201,0.99,0.3743637203414324,True,1973.4,2337.8,1976.7,1964.6,1975.8,1973.3,1977.5,1975.2,1982.7,1977.7
lzma,2097152,524288000,4,2095.36,1.82,987833223,0.90,0.4599234490972569,True,2097.1,2092.8,2088.2,2109.8,2093.5,2096.5,2074.0,2102.4,2098.6,2100.6
lzma,2097152,524288000,3,2107.61,1.83,987833223,0.90,0.46523307629907773,True,2111.0,2116.4,2108.3,2116.4,2097.3,2110.3,2094.0,2089.4,2116.4,2116.6
lzma,2097152,524288000,4,2067.98,1.79,987833223,0.90,0.44806565741191384,True,2081.8,2072.5,2082.8,2071.7,2061.7,2066.0,2071.4,2049.6,2059.7,2062.5
lzma,2097152,524288000,3,2067.01,1.79,987833223,0.90,0.4476470668586968,True,2039.4,2080.1,2067.2,2063.8,2081.8,2066.1,2042.4,2079.1,2074.2,2075.9
lzma,2097152,524288000,2,2073.19,1.80,987833223,0.90,0.45032267816790916,True,2070.6,2056.1,2078.5,2074.8,2053.5,2076.4,2079.2,2087.5,2080.4,2074.8
zlib,2097152,524288000,2,1721.62,1.49,1034326818,0.94,0.27698850262616237,True,1722.1,1742.4,1728.7,1724.8,1716.5,1722.0,1714.2,1714.1,1708.0,1723.4
lz4,2097152,524288000,2,1617.21,1.40,1096480201,0.99,0.2036055859903252,True,1610.7,1601.5,1612.2,1626.5,1622.7,1620.6,1623.4,1626.9,1609.2,1618.5
zstd,2097152,524288000,2,2107.75,1.83,1016177601,0.92,0.45244839700376666,True,2100.9,2110.9,2104.6,2114.5,2104.7,2109.9,2107.2,2118.1,2103.3,2103.4
zstd,2097152,524288000,3,2106.98,1.83,1016177601,0.92,0.45211313085504906,True,2094.3,2108.7,2107.2,2113.1,2112.2,2100.8,2118.8,2101.3,2106.6,2107.0
none,2097152,524288000,3,1160.84,1.01,1574376093,1.43,-0.21059402619866208,False,1162.4,1155.1,1156.9,1157.9,1155.6,1158.5,1168.8,1162.4,1166.5,1164.2
zstd,1048576,524288000,3,2107.89,1.83,1016284189,0.92,0.45246095802081265,True,2075.7,2452.7,2074.0,2065.5,2070.2,2071.2,2061.1,2069.9,2064.1,2074.4
zstd,2097152,524288000,3,1921.63,1.66,1016177601,0.92,0.3718397531171303,True,1943.3,1922.0,1944.4,1935.4,1928.2,1891.3,1917.7,1922.5,1894.5,1917.1
zstd,1048576,524288000,3,2061.40,1.79,1016284189,0.92,0.43232418021520247,True,2065.2,2055.6,2056.6,2069.5,2076.0,2073.8,2009.4,2072.4,2072.1,2063.3
zstd,1048576,524288000,2,2065.07,1.79,1016284189,0.92,0.43391648326939436,True,2058.1,2065.5,2074.0,2066.7,2066.5,2064.5,2056.4,2060.5,2069.0,2069.7
zstd,2097152,524288000,2,1789.86,1.55,1016177601,0.92,0.3147667783526043,True,1797.3,1799.9,1779.5,1779.6,1796.7,1805.7,1790.3,1782.2,1782.4,1785.0
zstd,2097152,419430400,2,2164.38,1.87,1016177601,0.92,0.4769747030178167,True,2123.6,2519.0,2129.3,2139.0,2136.8,2075.6,2117.1,2136.3,2125.3,2141.7
zstd,2097152,314572800,2,2120.91,1.84,1016304529,0.92,0.4580909540477012,True,2074.0,2083.5,2498.3,2077.3,2076.0,2080.6,2071.0,2073.7,2082.4,2092.4
