compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),throughput_increase(%),size_decrease(%),performance(%),accepted,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
zstd,1048576,524288000,2,1057.89,2537676254,112.205,26.757,69.481,True,1067.1,1069.6,1081.4,1057.3,1078.8,1063.1,1076.2,1076.6,947.2,1061.5
zstd,1048576,419430400,2,997.08,2538765332,100.008,26.725,63.367,False,1001.7,1012.6,1006.9,992.9,1014.7,989.9,1008.0,1023.5,990.9,929.8
zstd,524288,524288000,2,918.72,2539309035,84.289,26.71,55.499,False,940.1,944.2,940.0,853.0,949.5,953.1,940.2,936.9,939.9,790.3
zstd,1048576,524288000,1,1054.28,2537676254,111.482,26.757,69.119,True,1061.1,1059.9,1058.8,1052.0,1055.4,1056.8,1051.3,1057.7,1050.0,1039.8
zstd,524288,524288000,1,940.18,2539309035,88.594,26.71,57.652,False,957.3,936.5,946.5,931.1,942.7,937.2,934.0,933.4,939.7,943.4
zstd,1048576,419430400,1,1007.18,2538765332,102.034,26.725,64.38,False,1016.1,1005.8,1004.5,1011.9,1005.8,1007.2,1003.1,994.0,1015.5,1007.8
zlib,1048576,524288000,1,407.97,2776899589,-18.163,19.852,0.844,False,410.8,410.2,414.2,411.3,380.7,409.1,410.3,412.6,410.9,409.5
zstd,1048576,524288000,2,1043.97,2537676254,109.414,26.757,68.085,False,1042.1,1064.2,1034.4,1045.8,1034.9,1037.2,1042.2,1047.1,1044.8,1047.3
lzma,1048576,524288000,1,107.12,2340065122,-78.513,32.46,-23.026,False,107.0,107.3,107.3,107.0,107.0,107.0,107.6,107.3,107.2,106.4
zstd,524288,524288000,1,960.1,2539309035,92.589,26.71,59.649,False,983.4,962.2,955.0,959.9,940.7,989.1,949.7,950.9,950.4,959.7
zstd,1048576,524288000,2,1033.05,2537676254,107.222,26.757,66.989,False,1029.7,1025.6,1076.2,1057.7,1032.6,1053.0,1028.7,948.6,1039.7,1038.6
zstd,1048576,524288000,2,1053.68,2537676254,111.361,26.757,69.059,True,941.0,1089.5,1070.5,1069.7,1067.0,1059.9,1054.4,1072.1,1055.4,1057.3
zstd,1048576,524288000,3,986.62,2537676254,97.91,26.757,62.333,False,1022.5,1004.7,1030.8,1024.0,1027.4,847.3,1039.3,897.8,1035.5,937.0
zstd,1048576,524288000,3,1052.18,2537676254,111.061,26.757,68.909,True,926.5,1096.3,1030.0,1074.5,1058.9,1075.7,1082.5,1043.9,1063.7,1069.7
lzma,1048576,524288000,3,107.37,2340065122,-78.461,32.46,-23.001,False,106.3,107.3,107.2,107.5,108.3,106.4,107.8,107.5,108.0,107.5
