time,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),memory,throughput_increase(%),size_decrease(%),memory_decrease(%),performance(%),accepted,writing_time,processing_time,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19
23-04-24_17:38:38,zstd,262144,104857600,1,1045.83,873161275,378528,38.394,19.970,4.135,20.833,True,69.238,52.425,1048.2,1039.5,1055.1,1044.9,1043.7,1048.9,1055.4,1032.4,1055.4,1051.0,1038.5,1033.9,1040.4,1053.7,1046.4,1031.0,1058.0,1046.1,1039.1,1055.1
23-04-24_17:40:42,zstd,262144,157286400,1,1071.61,873129845,369224,41.805,19.973,6.491,22.757,True,70.446,53.221,1045.5,1059.7,1051.0,1064.7,1090.5,1086.1,1065.5,1053.2,1072.9,1061.6,1101.0,1072.2,1070.7,1054.3,1114.8,1075.4,1060.8,1073.4,1074.1,1084.9
23-04-24_17:42:45,zstd,262144,104857600,1,1041.91,873161275,378148,37.875,19.970,4.231,20.692,False,70.024,53.239,1043.5,1036.2,1040.6,1047.4,1037.9,1045.6,1055.5,1050.6,1053.5,1037.7,1049.2,1032.8,1017.1,1031.3,1040.0,1046.1,1036.3,1043.6,1046.0,1047.4
23-04-24_17:44:48,zstd,262144,104857600,1,1050.66,873161275,355448,39.033,19.970,9.980,22.995,True,70.248,52.509,1049.0,1041.0,1050.6,1044.4,1041.3,1059.0,1048.2,1049.9,1048.4,1091.5,1056.6,1044.8,1032.0,1054.2,1048.2,1043.8,1050.4,1054.2,1042.9,1062.7
23-04-24_17:46:44,lz4,262144,104857600,1,1172.31,1081421738,430168,55.130,0.882,-8.943,15.690,False,67.778,48.317,1146.9,1187.6,1177.7,1116.7,1208.6,1188.1,1140.2,1197.2,1162.7,1154.3,1168.1,1187.2,1204.2,1179.2,1158.8,1160.6,1179.8,1180.3,1162.7,1185.1
23-04-24_17:48:36,zstd,524288,104857600,1,1144.60,866554332,384492,51.464,20.576,2.625,24.888,True,60.408,52.176,1136.5,1143.3,1132.0,1144.4,1147.1,1125.3,1143.4,1134.9,1193.4,1197.9,1140.3,1145.0,1140.1,1142.9,1134.9,1125.1,1164.7,1131.4,1139.6,1130.1
23-04-24_17:50:35,lz4,524288,104857600,1,1303.12,1079200433,404808,72.441,1.086,-2.520,23.669,False,69.573,48.360,1307.5,1289.1,1308.1,1336.9,1313.2,1285.7,1354.8,1289.0,1277.7,1321.9,1287.1,1346.6,1265.6,1298.2,1271.3,1310.8,1264.6,1289.1,1316.5,1328.8
23-04-24_17:52:28,zstd,524288,104857600,2,1116.03,866554332,433552,47.683,20.576,-9.800,19.486,False,60.518,53.092,1112.7,1111.2,1114.2,1114.2,1120.1,1103.0,1118.0,1108.9,1120.1,1107.3,1112.1,1114.7,1131.7,1115.9,1114.4,1138.4,1125.6,1118.9,1115.0,1103.9
23-04-24_17:54:26,lz4,524288,104857600,1,1316.49,1079200433,432596,74.209,1.086,-9.558,21.912,False,69.761,48.350,1286.9,1327.0,1278.6,1292.8,1424.9,1304.8,1300.1,1318.9,1359.2,1284.6,1301.6,1340.1,1423.0,1310.1,1294.3,1270.2,1293.6,1316.2,1307.3,1295.4
23-04-24_17:56:21,zstd,524288,52428800,1,1119.14,866518344,354116,48.094,20.579,10.318,26.330,True,62.018,52.236,1103.9,1125.9,1136.2,1128.0,1139.4,1104.0,1115.9,1123.8,1134.2,1099.3,1115.6,1130.8,1102.5,1105.7,1104.6,1126.5,1107.1,1103.6,1161.7,1113.9
23-04-24_17:58:22,zstd,262144,52428800,1,1060.83,873129489,348992,40.379,19.973,11.615,23.989,False,68.848,52.793,1051.2,1046.0,1053.6,1054.8,1056.9,1068.3,1057.8,1053.1,1056.9,1064.5,1073.3,1056.5,1061.5,1064.2,1067.6,1069.5,1069.3,1073.3,1055.6,1062.9
