time,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),memory,throughput_increase(%),size_decrease(%),memory_decrease(%),performance(%),accepted,writing_time,processing_time,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,throughput_10,throughput_11,throughput_12,throughput_13,throughput_14,throughput_15,throughput_16,throughput_17,throughput_18,throughput_19,memory_0,memory_1,memory_2,memory_3,memory_4,memory_5,memory_6,memory_7,memory_8,memory_9,memory_10,memory_11,memory_12,memory_13,memory_14,memory_15,memory_16,memory_17,memory_18,memory_19
23-04-25_20:29:29,lz4,2097152,10485760,3,1646.18,1079825345,332181.40,120.248,1.029,15.949,45.742,False,69.987,48.130,1567.4,1561.7,1565.9,1560.1,1569.3,1561.6,1543.9,1559.5,1575.8,1555.8,1718.0,1735.8,1715.1,1723.5,1718.2,1764.0,1721.2,1742.4,1728.3,1736.2,332612.0,331904.0,331692.0,331776.0,332088.0,331240.0,332288.0,331644.0,333036.0,331656.0,331812.0,333092.0,333132.0,332220.0,332756.0,331924.0,333320.0,332556.0,331712.0,331168.0
23-04-25_20:31:28,lz4,1048576,10485760,2,1719.81,1079825345,316295.80,130.100,1.029,19.968,50.366,True,70.791,47.563,1546.3,1705.8,1810.8,1825.8,1717.8,1712.8,1693.6,1712.9,1707.6,1764.2,1722.7,1712.6,1746.7,1799.9,1701.4,1702.1,1690.1,1705.0,1711.5,1706.7,315392.0,316748.0,315676.0,317408.0,315640.0,316172.0,316388.0,315080.0,315988.0,316748.0,316808.0,316888.0,315740.0,315972.0,317360.0,316708.0,314964.0,316008.0,317356.0,316872.0
23-04-25_20:33:27,lz4,1048576,10485760,3,1564.86,1079825345,332330.60,109.368,1.029,15.911,42.103,False,71.408,48.416,1552.5,1550.3,1559.6,1590.9,1574.6,1589.5,1564.5,1555.4,1555.0,1571.4,1555.4,1570.8,1552.4,1560.8,1548.4,1570.0,1555.8,1548.5,1596.4,1574.9,332524.0,333112.0,332444.0,332208.0,332796.0,331660.0,332868.0,331756.0,332892.0,331932.0,331772.0,331732.0,332884.0,332444.0,331220.0,332104.0,333176.0,331760.0,332764.0,332564.0
23-04-25_20:35:21,zstd,1048576,10485760,2,1243.08,861535177,313634.20,66.316,21.036,20.642,35.998,False,61.521,52.383,1237.8,1245.5,1265.7,1239.2,1244.2,1243.9,1238.4,1249.7,1246.8,1245.5,1233.3,1238.8,1243.8,1246.1,1244.9,1237.8,1240.2,1235.6,1249.7,1234.7,313724.0,314108.0,313800.0,313724.0,313540.0,314432.0,313268.0,312472.0,312860.0,314384.0,314460.0,312948.0,313684.0,315096.0,313440.0,314448.0,312976.0,312484.0,313032.0,313804.0
23-04-25_20:37:22,lz4,1048576,20971520,2,1527.68,1078480886,353815.80,104.394,1.152,10.475,38.674,False,71.097,49.287,1520.6,1542.0,1521.1,1554.0,1513.5,1519.9,1553.3,1525.5,1518.9,1523.1,1509.9,1547.1,1518.8,1536.9,1523.5,1524.9,1526.6,1531.9,1527.2,1514.9,355140.0,353296.0,353300.0,353332.0,355148.0,354396.0,353752.0,353724.0,353304.0,354096.0,353372.0,353676.0,353540.0,353336.0,353400.0,353520.0,354404.0,355088.0,353372.0,353120.0
23-04-25_20:39:21,lz4,1048576,10485760,1,1513.25,1079825345,304768.20,102.463,1.029,22.885,42.126,False,71.096,48.193,1506.7,1509.3,1499.6,1512.6,1510.2,1512.1,1516.2,1525.9,1530.7,1499.2,1521.9,1506.7,1497.7,1516.4,1516.1,1514.3,1500.1,1510.2,1535.0,1524.0,303868.0,304512.0,305724.0,305724.0,304824.0,305128.0,309916.0,303976.0,304484.0,304876.0,305420.0,309452.0,304660.0,298628.0,304832.0,298628.0,305492.0,305084.0,305712.0,304424.0
23-04-25_20:41:19,lz4,2097152,10485760,2,1669.70,1079825345,316165.00,123.395,1.029,20.001,48.142,False,70.383,47.852,1542.8,1546.3,1557.8,1549.1,1552.3,1554.2,1723.9,1719.7,1719.5,1720.3,1714.2,1724.1,1730.7,1726.6,1720.8,1717.5,1726.3,1721.8,1714.9,1711.4,316716.0,315720.0,316132.0,315664.0,316768.0,315832.0,315660.0,315320.0,316356.0,317408.0,316748.0,315136.0,316876.0,316012.0,316420.0,315596.0,316192.0,316784.0,316796.0,315164.0
23-04-25_20:43:19,lz4,1048576,20971520,2,1634.86,1078480886,353949.00,118.734,1.152,10.441,43.442,False,70.976,48.822,1541.5,1513.2,1527.8,1524.4,1528.5,1537.8,1676.6,1651.8,1674.6,1724.7,1662.4,1669.5,1688.5,1676.1,1727.3,1724.7,1640.5,1667.2,1667.3,1672.8,353480.0,354552.0,355076.0,354584.0,354172.0,353344.0,354116.0,354444.0,353504.0,353068.0,353604.0,354532.0,353612.0,353720.0,353268.0,353748.0,353716.0,354608.0,354420.0,353412.0
23-04-25_20:45:13,zstd,1048576,10485760,2,1239.48,861535177,313628.40,65.834,21.036,20.643,35.838,False,61.122,52.557,1233.1,1234.6,1235.9,1257.0,1261.1,1239.1,1242.0,1238.5,1240.8,1230.4,1241.7,1241.5,1237.3,1231.9,1231.7,1234.7,1233.7,1236.0,1253.0,1235.5,314464.0,313028.0,313336.0,314476.0,313736.0,313644.0,313648.0,314476.0,313468.0,313416.0,313464.0,313668.0,312840.0,313432.0,313452.0,314124.0,313800.0,313744.0,313692.0,312660.0
23-04-25_20:47:11,lz4,1048576,10485760,3,1592.39,1079825345,332855.20,113.051,1.029,15.778,43.286,False,69.710,48.646,1590.1,1581.8,1586.5,1591.4,1631.3,1630.7,1584.9,1585.6,1584.8,1590.6,1575.8,1606.5,1586.2,1582.0,1588.0,1561.8,1605.3,1594.9,1606.3,1583.3,332812.0,332068.0,333456.0,332592.0,333396.0,333736.0,331568.0,333976.0,331844.0,331940.0,333332.0,332244.0,332644.0,333276.0,332944.0,332032.0,333496.0,333136.0,333104.0,333508.0
23-04-25_20:49:10,lz4,2097152,10485760,2,1688.52,1079825345,316111.20,125.913,1.029,20.015,48.986,False,70.785,47.679,1593.8,1559.5,1572.6,1556.0,1563.1,1741.0,1728.0,1727.3,1720.7,1723.1,1711.5,1765.1,1728.1,1712.4,1733.3,1727.7,1716.2,1736.4,1705.3,1749.5,317416.0,315932.0,317444.0,316112.0,316404.0,315624.0,316420.0,315420.0,315620.0,315632.0,316304.0,316132.0,316172.0,316464.0,315116.0,316140.0,316440.0,315980.0,315612.0,315840.0
23-04-25_20:51:10,lz4,2097152,10485760,2,1552.62,1079825345,315843.80,107.730,1.029,20.083,42.947,False,71.813,48.318,1547.1,1542.8,1577.9,1552.6,1542.9,1552.5,1563.5,1547.7,1548.8,1566.7,1532.7,1556.6,1553.0,1553.5,1554.4,1549.5,1554.5,1561.7,1543.0,1551.1,316300.0,316468.0,316184.0,316688.0,315084.0,315960.0,314964.0,315456.0,315172.0,316776.0,315596.0,315624.0,315692.0,315112.0,315592.0,316004.0,315080.0,316716.0,316788.0,315620.0
23-04-25_20:53:06,zstd,1048576,10485760,2,1231.87,861535177,313664.00,64.817,21.036,20.634,35.496,False,62.678,52.679,1229.4,1234.9,1236.3,1234.4,1236.9,1228.8,1225.0,1236.3,1227.9,1227.0,1232.5,1233.8,1232.7,1233.5,1230.7,1224.8,1234.6,1237.3,1228.5,1232.4,314092.0,313628.0,313472.0,312676.0,313456.0,314132.0,313324.0,313672.0,313284.0,314428.0,313740.0,313360.0,314144.0,313632.0,313348.0,314488.0,313652.0,313332.0,314524.0,312896.0
23-04-25_20:55:06,lz4,1048576,20971520,2,1544.02,1078480886,354127.20,106.580,1.152,10.396,39.376,False,71.716,49.150,1548.3,1529.2,1552.5,1553.4,1583.2,1545.6,1543.3,1539.8,1554.8,1528.9,1543.5,1537.5,1524.7,1559.4,1522.4,1528.2,1530.6,1575.2,1538.3,1541.6,353132.0,354592.0,355156.0,354468.0,353260.0,354428.0,354132.0,355100.0,353344.0,355100.0,353364.0,355148.0,353276.0,354128.0,354076.0,354308.0,353380.0,354612.0,354184.0,353356.0
