compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),throughput_increase(%),size_decrease(%),performance(%),accepted,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
lz4,4194304,104857600,2,1138.62,1077688922,44.758,1.224,22.991,False,1278.5,1102.0,1142.0,1042.9,1430.2,1255.5,1172.5,1039.5,948.0,975.2
zstd,2097152,104857600,2,1223.53,865771122,55.553,20.648,38.1,False,1233.2,1225.8,1218.4,1221.9,1219.6,1221.6,1246.8,1211.2,1214.8,1222.1
lz4,1048576,104857600,2,1215.32,1078256406,54.509,1.172,27.841,False,1392.2,1351.3,1352.8,1348.4,1150.2,1245.5,1059.6,1089.8,1070.0,1093.4
lz4,2097152,209715200,2,1513.16,1077687656,92.375,1.225,46.8,True,1495.6,1514.6,1508.7,1506.5,1511.5,1517.7,1501.5,1506.2,1537.7,1531.7
lz4,2097152,209715200,3,1518.33,1077687656,93.032,1.225,47.129,True,1526.2,1553.3,1497.0,1502.6,1513.2,1509.9,1536.3,1509.0,1502.9,1533.1
lz4,2097152,209715200,2,1015.41,1077687656,29.094,1.225,15.159,False,1266.4,1046.8,1072.8,981.1,948.7,951.9,1043.5,941.4,1015.6,885.9
zlib,2097152,209715200,3,531.8,761624058,-32.39,30.193,-1.098,False,528.8,533.5,535.6,530.1,535.0,531.1,532.8,537.2,525.4,528.3
none,2097152,209715200,3,966.58,3208803272,22.885,-194.103,-85.609,False,943.1,932.8,855.8,1019.1,1107.7,928.8,852.5,837.6,1087.6,1100.8
lzma,2097152,209715200,3,107.09,610424437,-86.386,44.052,-21.167,False,106.8,106.5,106.7,107.4,107.3,107.1,106.9,107.3,107.3,107.6
lz4,2097152,209715200,4,1507.07,1077687656,91.601,1.225,46.413,True,1449.6,1496.3,1527.7,1526.5,1498.0,1514.3,1509.3,1520.3,1522.7,1506.0
lz4,2097152,209715200,3,1485.22,1077687656,88.823,1.225,45.024,True,1524.2,1215.4,1537.4,1512.3,1516.3,1510.1,1488.5,1520.6,1518.8,1508.8
lz4,2097152,314572800,3,1418.19,1077683002,80.301,1.225,40.763,False,1370.6,1162.6,1099.5,1515.0,1525.7,1515.7,1501.6,1506.4,1479.3,1505.7
lz4,1048576,209715200,3,1316.87,1078256127,67.42,1.172,34.296,False,1315.0,1307.0,1308.1,1337.8,1322.0,1312.6,1289.0,1334.4,1317.5,1325.4
lzma,2097152,209715200,3,107.22,610424437,-86.368,44.052,-21.158,False,107.1,107.4,107.3,107.5,106.8,107.1,107.4,107.4,107.0,107.3
lzma,2097152,209715200,3,106.89,610424437,-86.41,44.052,-21.179,False,106.8,106.7,107.2,107.5,106.5,107.0,106.0,107.1,106.9,107.1
lz4,4194304,209715200,3,1495.19,1077687656,90.09,1.225,45.657,True,1338.7,1532.4,1493.3,1527.1,1503.8,1500.8,1531.6,1501.5,1504.9,1517.7
lzma,4194304,209715200,3,106.99,610424437,-86.397,44.052,-21.173,False,106.8,106.9,107.3,105.8,107.4,107.2,107.3,107.5,106.9,107.0
lz4,4194304,104857600,3,1502.53,1077688922,91.023,1.224,46.124,True,1492.8,1498.7,1518.9,1539.8,1489.7,1479.6,1512.7,1497.9,1486.8,1508.5
lz4,4194304,104857600,4,1504.94,1077688922,91.33,1.224,46.277,True,1513.7,1509.7,1477.0,1503.3,1496.9,1489.3,1544.8,1485.2,1501.9,1527.5
lz4,2097152,104857600,4,1503.13,1077688922,91.099,1.224,46.162,True,1498.4,1518.4,1534.6,1391.4,1522.6,1512.7,1497.1,1524.2,1515.5,1516.1
lz4,4194304,104857600,4,1507.63,1077688922,91.672,1.224,46.448,True,1507.2,1508.0,1488.0,1501.6,1504.6,1589.1,1489.8,1496.3,1492.3,1499.3
lz4,4194304,52428800,4,1524.75,1077688572,93.848,1.224,47.536,True,1529.3,1526.1,1511.3,1512.4,1533.6,1501.6,1532.0,1512.2,1566.2,1522.7
zstd,4194304,52428800,4,1205.73,865743369,53.29,20.65,36.97,False,1212.4,1206.3,1210.4,1195.1,1205.5,1209.9,1195.4,1202.9,1203.6,1215.7
