time,number_of_changes,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),throughput_increase(%),size_decrease(%),performance(%),accepted,writing_time,processing_time,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19
23-04-20_13:51:32,1,lz4,524288,20971520,2,1348.46,1078999291,73.257,1.104,37.181,False,75.505,50.447,1332.6,1335.3,1366.2,1355.1,1334.8,1362.5,1330.0,1343.9,1390.5,1392.2,1330.0,1333.0,1346.4,1349.9,1350.1,1314.1,1344.8,1340.2,1344.6,1373.2
23-04-20_13:53:32,3,zstd,1048576,31457280,1,1115.15,864908074,43.280,20.727,32.004,False,65.527,54.495,1123.2,1120.9,1134.8,1113.1,1113.5,1111.6,1112.3,1103.0,1123.9,1130.2,1117.8,1088.4,1104.4,1109.5,1123.9,1114.0,1123.1,1108.6,1116.1,1110.6
23-04-20_13:55:37,1,lz4,1048576,31457280,2,1347.45,1078353583,73.127,1.164,37.145,False,73.962,50.810,1328.5,1351.2,1329.0,1381.1,1346.6,1390.3,1356.3,1326.1,1342.4,1352.1,1337.6,1328.9,1321.4,1380.1,1302.1,1334.0,1323.5,1324.2,1395.5,1398.2
23-04-20_13:57:40,2,lz4,1048576,31457280,3,1298.31,1078353583,66.813,1.164,33.988,False,72.316,50.895,1277.2,1356.6,1302.0,1303.3,1273.7,1276.7,1289.6,1259.8,1229.0,1391.6,1353.7,1264.1,1309.1,1309.0,1340.2,1261.6,1306.1,1270.0,1303.1,1289.8
23-04-20_13:59:43,2,lz4,2097152,20971520,3,1461.90,1078480886,87.831,1.152,44.492,False,72.395,50.580,1472.7,1428.2,1448.0,1425.2,1445.9,1510.7,1448.8,1471.1,1441.3,1446.2,1462.5,1480.6,1455.9,1427.6,1441.0,1506.2,1464.7,1452.4,1507.1,1501.7
23-04-20_14:01:46,1,lz4,524288,20971520,2,1380.96,1078999291,77.432,1.104,39.268,False,72.384,49.961,1394.3,1343.9,1361.9,1365.1,1406.1,1392.0,1389.1,1362.1,1389.6,1401.5,1409.3,1369.1,1365.2,1360.0,1400.3,1402.8,1392.3,1369.4,1362.4,1382.6
23-04-20_14:03:26,1,none,1048576,20971520,2,1090.17,3210014643,40.070,-194.214,-77.072,False,51.355,49.002,1093.0,1080.5,1095.3,1106.9,1095.7,1080.3,1103.4,1084.2,1081.2,1073.4,1081.8,1079.1,1078.5,1066.1,1128.9,1094.7,1085.8,1100.7,1128.2,1065.8
23-04-20_14:05:31,1,lz4,1048576,31457280,2,1337.24,1078353583,71.815,1.164,36.490,False,73.974,50.915,1305.4,1336.6,1299.3,1300.9,1304.2,1300.3,1352.5,1383.5,1366.9,1390.8,1330.4,1326.0,1333.1,1369.2,1360.6,1402.9,1330.8,1322.4,1307.2,1322.0
23-04-20_14:13:33,4,lzma,2097152,31457280,3,102.52,610404915,-86.827,44.053,-21.387,False,270.932,211.506,102.7,102.1,102.4,103.3,103.2,102.0,101.8,102.7,102.2,101.9,101.3,101.9,102.6,102.4,103.1,103.1,102.0,101.9,104.0,103.8
23-04-20_14:15:12,1,none,1048576,20971520,2,1073.56,3210014643,37.936,-194.214,-78.139,False,50.111,48.741,1057.9,1052.6,1072.5,1065.3,1053.6,1058.3,1073.7,1080.7,1082.3,1069.3,1071.8,1112.2,1113.2,1060.5,1073.5,1088.0,1056.9,1073.5,1078.5,1077.0
23-04-20_14:17:20,1,lz4,1048576,31457280,2,1380.86,1078353583,77.419,1.164,39.291,False,76.588,51.272,1407.1,1340.9,1347.3,1305.4,1372.9,1314.7,1330.4,1413.7,1493.6,1357.3,1581.0,1440.5,1316.4,1330.5,1475.3,1372.1,1308.3,1319.6,1404.0,1386.2
23-04-20_14:19:27,2,lz4,2097152,31457280,2,1503.10,1078012319,93.126,1.195,47.160,False,75.226,51.187,1458.3,1430.2,1450.4,1436.0,1429.7,1465.9,1485.3,1494.1,1497.2,1478.2,1458.0,1507.6,1508.4,1485.2,1624.2,1510.1,1504.6,1603.0,1624.2,1611.4
23-04-20_14:21:27,1,zstd,1048576,20971520,2,1245.56,864455432,60.035,20.768,40.402,False,66.167,53.868,1252.8,1245.5,1257.7,1243.8,1252.7,1239.1,1225.9,1242.6,1238.2,1248.0,1238.5,1254.8,1238.2,1254.3,1241.6,1245.7,1232.8,1259.3,1249.0,1250.7
23-04-20_14:23:04,1,none,1048576,20971520,2,1167.27,3210014643,49.977,-194.214,-72.119,False,49.194,48.307,1168.2,1166.1,1162.1,1176.1,1165.2,1174.2,1176.4,1172.8,1164.2,1159.2,1162.5,1175.9,1164.0,1162.1,1173.0,1167.7,1158.2,1163.8,1168.0,1165.9
23-04-20_14:25:08,1,lz4,1048576,31457280,2,1379.68,1078353583,77.268,1.164,39.216,False,72.692,50.917,1358.0,1375.3,1376.6,1429.1,1358.0,1377.0,1361.2,1382.7,1357.4,1379.5,1492.8,1373.8,1378.9,1374.9,1364.8,1370.0,1367.1,1364.4,1379.4,1372.9
